index,TCP_Number,Year,cleaned_year
4326,A14795,1634,1634
4327,A14803,1622,1622
4328,A14804,1553,1553
4329,A14807,1590,1590
4330,A14813,1554,1554
4331,A14818,1587,1587
4332,A14821,1594,1594
4333,A14822,1582,1582
4334,A14823,1590,1590
4335,A14825,1590,1590
4336,A14826,1593,1593
4337,A14830,1601,1601
4338,A14846,1565,1565
4339,A14850,1590,1590
4340,A14868,1586,1586
4341,A14869,1623,1623
4342,A14870,1613,1613
4343,A14871,1624,1624
4344,A14872,1623,1623
4345,A14875,1612,1612
4346,A14882,1585,1585
4347,A14898,1608,1608
4348,A14900,1608,1608
4349,A14902,1600,1600
4350,A14914,1630,1630
4351,A14916,1631,1631
4352,A14917,1600,1600
4353,A14918,1601,1601
4354,A14922,1629,1629
4355,A14924,1605,1605
4356,A14927,1630,1630
4357,A14929,1636,1636
4358,A14934,1590,1590
4359,A14944,1555,1555
4360,A14946,1550,1550
4361,A14952,1595,1595
4362,A14954,1608,1608
4363,A14955,1607,1607
4364,A14956,1606,1606
4365,A14957,1619,1619
4366,A14958,1611,1611
4367,A15011,1622,1622
4368,A15013,1640,1640
4369,A15015,1606,1606
4370,A15032,1587,1587
4371,A15033,1586,1586
4372,A15034,1582,1582
4373,A15036,1585,1585
4374,A15038,1586,1586
4375,A15040,1585,1585
4376,A15041,1579,1579
4377,A15042,1583,1583
4378,A15043,1582,1582
4379,A15044,1577,1577
4380,A15046,1576,1576
4381,A15047,1587,1587
4382,A15048,1563,1563
4383,A15049,1549,1549
4384,A15050,1613,1613
4385,A15069,1620,1620
4386,A15072,1622,1622
4387,A15073,1622,1622
4388,A15074,1622,1622
4389,A15082,1624,1624
4390,A15097,1630,1630
4391,A15106,1586,1586
4392,A15107,1578,1578
4393,A15108,1578,1578
4394,A15109,1589,1589
4395,A15110,1605,1605
4396,A15124,1530,1530
4397,A15127,1572,1572
4398,A15130,1574,1574
4399,A15131,1574,1574
4400,A15132,1589,1589
4401,A15134,1575,1575
4402,A15141,1567,1567
4403,A15143,1573,1573
4404,A15145,1574,1574
4405,A15292,1590,1590
4406,A15293,1571,1571
4407,A15295,1581,1581
4408,A15297,1550,1550
4409,A15298,1608,1608
4410,A15299,1546,1546
4411,A15309,1601,1601
4412,A15310,1534,1534
4413,A15325,1640,1640
4414,A15332,1598,1598
4415,A15333,1609,1609
4416,A15339,1585,1585
4417,A15348,1641,1641
4418,A15352,1607,1607
4419,A15355,1608,1608
4420,A15357,1607,1607
4421,A15364,1640,1640
